Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 44.31      2.99     2.99     3814     0.78     1.04  bool __gnu_cxx::operator!=<ns3::Ptr<ns3::Node> const*, std::vector<ns3::Ptr<ns3::Node>, std::allocator<ns3::Ptr<ns3::Node> > > >(__gnu_cxx::__normal_iterator<ns3::Ptr<ns3::Node> const*, std::vector<ns3::Ptr<ns3::Node>, std::allocator<ns3::Ptr<ns3::Node> > > > const&, __gnu_cxx::__normal_iterator<ns3::Ptr<ns3::Node> const*, std::vector<ns3::Ptr<ns3::Node>, std::allocator<ns3::Ptr<ns3::Node> > > > const&)
 22.90      4.54     1.55  3844511     0.00     0.00  __gnu_cxx::__normal_iterator<ns3::Ptr<ns3::Node> const*, std::vector<ns3::Ptr<ns3::Node>, std::allocator<ns3::Ptr<ns3::Node> > > >::__normal_iterator(ns3::Ptr<ns3::Node> const* const&)
 14.23      5.50     0.96 941208820     0.00     0.00  __gnu_cxx::__normal_iterator<ns3::Ptr<ns3::Node> const*, std::vector<ns3::Ptr<ns3::Node>, std::allocator<ns3::Ptr<ns3::Node> > > >::base() const
  9.34      6.13     0.63       24    26.26    26.26  int* std::fill_n<int*, unsigned long, int>(int*, unsigned long, int const&)
  2.82      6.32     0.19     2612     0.07     0.07  ns3::Ptr<ns3::Node> const&&& std::forward<ns3::Ptr<ns3::Node> const&>(std::identity<ns3::Ptr<ns3::Node> const&>::type&&)
  2.37      6.48     0.16     3652     0.04     0.04  __gnu_cxx::new_allocator<ns3::Ptr<ns3::Node> >::max_size() const
  2.07      6.62     0.14     1202     0.12     0.25  std::_Vector_base<ns3::Ptr<ns3::Node>, std::allocator<ns3::Ptr<ns3::Node> > >::_M_allocate(unsigned long)
  0.59      6.66     0.04   129189     0.00     0.00  ns3::SimpleRefCount<ns3::Object, ns3::ObjectBase, ns3::ObjectDeleter>::Unref() const
  0.30      6.68     0.02    39505     0.00     0.00  ns3::Node* ns3::PeekPointer<ns3::Node>(ns3::Ptr<ns3::Node> const&)
  0.30      6.70     0.02                             std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_M_destroy()
  0.22      6.71     0.02     1202     0.01     3.48  ns3::Ptr<ns3::Node>* std::uninitialized_copy<__gnu_cxx::__normal_iterator<ns3::Ptr<ns3::Node> const*, std::vector<ns3::Ptr<ns3::Node>, std::allocator<ns3::Ptr<ns3::Node> > > >, ns3::Ptr<ns3::Node>*>(__gnu_cxx::__normal_iterator<ns3::Ptr<ns3::Node> const*, std::vector<ns3::Ptr<ns3::Node>, std::allocator<ns3::Ptr<ns3::Node> > > >, __gnu_cxx::__normal_iterator<ns3::Ptr<ns3::Node> const*, std::vector<ns3::Ptr<ns3::Node>, std::allocator<ns3::Ptr<ns3::Node> > > >, ns3::Ptr<ns3::Node>*)
  0.15      6.72     0.01   132089     0.00     0.00  ns3::SimpleRefCount<ns3::Object, ns3::ObjectBase, ns3::ObjectDeleter>::Ref() const
  0.15      6.73     0.01     1765     0.01     0.01  ns3::ObjectFactory::~ObjectFactory()
  0.15      6.74     0.01     1202     0.01     0.65  std::vector<ns3::Ptr<ns3::Node>, std::allocator<ns3::Ptr<ns3::Node> > >::begin() const
  0.07      6.75     0.01     5468     0.00     0.00  operator new(unsigned long, void*)
  0.07      6.75     0.01        1     5.00     5.00  global constructors keyed to main
  0.00      6.75     0.00   289738     0.00     0.00  ns3::SimpleRefCount<ns3::AttributeChecker, ns3::empty, ns3::DefaultDeleter<ns3::AttributeChecker> >::Unref() const
  0.00      6.75     0.00    82178     0.00     0.00  ns3::SimpleRefCount<ns3::AttributeValue, ns3::empty, ns3::DefaultDeleter<ns3::AttributeValue> >::Unref() const
  0.00      6.75     0.00    67648     0.00     0.00  ns3::DefaultDeleter<ns3::AttributeValue>::Delete(ns3::AttributeValue*)
  0.00      6.75     0.00    66272     0.00     0.00  ns3::Ptr<ns3::Node>::Acquire() const
  0.00      6.75     0.00    41323     0.00     0.00  ns3::NetDevice* ns3::PeekPointer<ns3::NetDevice>(ns3::Ptr<ns3::NetDevice> const&)
  0.00      6.75     0.00    41323     0.00     0.00  ns3::Ptr<ns3::NetDevice>::Acquire() const
  0.00      6.75     0.00    27217     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<ns3::AttributeConstructionList::Item> >::~new_allocator()
  0.00      6.75     0.00    27216     0.00     0.00  std::allocator<std::_List_node<ns3::AttributeConstructionList::Item> >::~allocator()
  0.00      6.75     0.00    27216     0.00     0.00  std::_List_base<ns3::AttributeConstructionList::Item, std::allocator<ns3::AttributeConstructionList::Item> >::_List_impl::~_List_impl()
  0.00      6.75     0.00    27216     0.00     0.00  std::_List_base<ns3::AttributeConstructionList::Item, std::allocator<ns3::AttributeConstructionList::Item> >::_M_clear()
